h3_index,latitude,longitude,bike_amenities,car_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,needs_amenities,other_amenities,pet_amenity,public_transport,shops_amenities,social_amenities,study_amenity,water_amenities,work_amenity,parking_area,traffic_count,number_stations,number_plugs,charger_rating,highway,voltage,has_charging_station,distance_to_center
88be08c40dfffff,-34.13313855976032,150.77384768616676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,nothing,0.0,330000.0,1,50.55677600084539
88be08c411fffff,-34.13693342604708,150.73450436622122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,nothing,0.0,66000.0,1,53.773160170251096
88be08c415fffff,-34.12968874192407,150.74115838370815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,476.47125292450136,0.0,0.0,0.0,nothing,2.0,0.0,0,52.81605771607058
88be08c417fffff,-34.12853691424632,150.7302628871026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,nothing,0.0,66000.0,1,53.586274941957086
88be08c41bfffff,-34.144177691555925,150.7278492625743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,nothing,0.0,66000.0,1,54.73220091899569
88be08c421fffff,-34.10910114723523,150.77200764626912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,nothing,0.0,330000.0,1,49.1826464704056
88be08c425fffff,-34.10185415451818,150.7786565730285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,0.0,66000.0,0,48.22987651998018
88be08c427fffff,-34.10070582959528,150.76776359378673,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,15519.586861476388,0.0,6.0,0.0,nothing,9.0,330000.0,1,49.0093084017726
88be08c42bfffff,-34.11634772365084,150.76535763350122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,nothing,0.0,330000.0,1,50.137699779324564
88be08c42dfffff,-34.110249167761744,150.78290183933134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nothing,4.0,0.0,0,48.4165854806112
88be08c431fffff,-34.11404757243632,150.74356915577104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1208.4007446811306,0.0,0.0,0.0,nothing,0.0,0.0,0,51.686879075696964
88be08c433fffff,-34.11289608144122,150.73267561992745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,nothing,0.0,66000.0,1,52.47364360042988
88be08c435fffff,-34.106802275293845,150.7502206615043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7706.048003514128,0.0,0.0,0.0,nothing,3.0,0.0,0,50.7407358972102
88be08c437fffff,-34.105651424220156,150.73932787131662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1461.9656836262523,0.0,0.0,0.0,nothing,0.0,0.0,0,51.531977223315195
88be08c439fffff,-34.12244363970213,150.7478113151216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,476.47125292450136,0.0,0.0,0.0,nothing,0.0,0.0,0,51.86100133604654
88be08c43bfffff,-34.12129245225889,150.73691656433263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1729.8148148148148,0.0,0.0,nothing,0.0,0.0,0,52.63543494684322
88be08c43dfffff,-34.11519811989649,150.75446316054808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20952.755102040817,0.0,0.0,nothing,0.0,0.0,0,50.90810665541955
