h3_index,bike_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,other_amenities,pet_amenity,social_amenities,water_amenities,parking_area,traffic_count,highway,public_transport,voltage,car_amenities,needs_amenities,shops_amenities,study_work_amenity,latitude,longitude,distance_to_center,number_stations,number_plugs,charger_rating,charger_rating_float,has_charging_station
88be081a69fffff,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,-34.06860427431617,150.6897104862352,52.88733772998283,0.0,0.0,nothing,0.0,0
88be081a6bfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8051.607658992112,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-34.06744844587215,150.67882443724105,53.750079245658696,0.0,0.0,nothing,0.0,0
88be081a6dfffff,0.0,0.0,1.0,0.0,4.0,1.0,0.0,9.0,0.0,0.0,0.0,228463.8511416312,387655.0927835051,10.0,6.0,0.0,0.0,37.0,1.0,0.0,-34.06136201287745,150.69636252240238,51.99648478007364,0.0,0.0,nothing,0.0,0
88be081ae5fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1096.345514950166,0.0,0.0,0.0,0.0,-34.04485661951702,150.6159502151124,58.21713566933445,0.0,0.0,nothing,0.0,0
88be081b03fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.01328867380236,150.69273140688028,50.37351276202111,0.0,0.0,nothing,0.0,0
88be081b05fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.00719959644256,150.7102575282591,48.624277694793584,0.0,0.0,nothing,0.0,0
88be081b09fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7766.206271577782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.022839550234856,150.70784373486114,49.40488142943664,0.0,0.0,nothing,0.0,0
88be081b0bfffff,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,29002.52803367027,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,-34.0216856794599,150.69696308227384,50.30686781069112,0.0,0.0,nothing,0.0,0
88be081b11fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.06997084548105,0.0,0.0,0.0,0.0,-34.019375119381614,150.67520319142133,52.12304085614746,0.0,0.0,nothing,0.0,0
88be081b15fffff,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11481.562439846412,0.0,1.0,0.0,288.6297376093294,0.0,0.0,0.0,0.0,-34.012133563496384,150.6818524386254,51.28844049434756,0.0,0.0,nothing,0.0,0
88be081b17fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.2798833819242,0.0,0.0,0.0,0.0,-34.01097751415624,150.6709739425177,52.20697651362278,0.0,0.0,nothing,0.0,0
88be081b1dfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.02053086911822,150.6860829008759,51.2129932435552,0.0,0.0,nothing,0.0,0
88be081b25fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2886.2973760932946,0.0,0.0,0.0,0.0,-33.98431575615707,150.7193146084653,47.08306343450865,0.0,0.0,nothing,0.0,0
88be081b27fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2886.2973760932946,0.0,0.0,0.0,0.0,-33.9831632010646,150.70843860696482,48.01789480202048,0.0,0.0,nothing,0.0,0
88be081b29fffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,384.8396501457726,0.0,2.0,0.0,0.0,-33.99995593459561,150.71690312755098,47.79285191988104,0.0,0.0,nothing,0.0,0
88be081b2dfffff,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,32285.47986504605,0.0,22.0,1.0,769.6793002915452,1.0,0.0,0.0,0.0,-33.992711859876486,150.72354764448983,46.96847309468067,0.0,0.0,nothing,0.0,0
88be081b31fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.20991253644316,0.0,0.0,0.0,0.0,-33.99649443817521,150.6842706724992,50.56710330217133,0.0,0.0,nothing,0.0,0
88be081b3bfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.5597667638484,0.0,0.0,0.0,0.0,-34.003736183235674,150.67762284843445,51.38363586649835,0.0,0.0,nothing,0.0,0
88be081b41fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652189.5044472152,0.0,5.0,0.0,1924.198250728863,0.0,0.0,0.0,0.0,-34.03238880988239,150.72295983168436,48.48023401904494,0.0,0.0,nothing,0.0,0
88be081b45fffff,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,193824.3798854249,0.0,11.0,1.0,3848.396501457726,0.0,2.0,1.0,0.0,-34.025144472398686,150.72960645058672,47.614270047680705,0.0,0.0,nothing,0.0,0
88be081b47fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.02399248127156,150.71872485788356,48.50726607478048,0.0,0.0,nothing,0.0,0
88be081b49fffff,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,208634.85029433956,0.0,13.0,4.0,1154.5189504373177,0.0,1.0,1.0,0.0,-34.040785061956136,150.7271956784423,48.47424116211288,0.0,0.0,nothing,0.0,0
