h3_index,latitude,longitude,bike_amenities,car_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,needs_amenities,other_amenities,pet_amenity,public_transport,shops_amenities,social_amenities,study_amenity,water_amenities,work_amenity,parking_area,traffic_count,number_stations,highway,subway,voltage,has_charging_station,distance_to_center
88194e6d93fffff,51.403600421984045,0.1467756028848588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.640465164175314
88194e6d95fffff,51.41347010218524,0.1304352409065595,5.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,101550.6260891727,37820.12903225807,0.0,12.0,0.0,0.0,0,19.1423291696447
88194e6d9dfffff,51.419122045999956,0.13836275604615558,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,144.50609080751067,0.0,0.0,2.0,0.0,0.0,0,19.397644266279737
88194e6da1fffff,51.42754978117933,0.08980238271456649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,36708.47400461923,23346.25,0.0,2.0,0.0,0.0,0,15.921993481566842
88194e6da3fffff,51.419789691600464,0.09401843714127706,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,19866.562150182257,25284.666666666668,0.0,3.0,0.0,0.0,0,16.551801802316994
88194e6da5fffff,51.429654036369755,0.07765685453635308,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,22126.352121004602,0.0,0.0,0.0,0.0,0.0,0,15.055050130519106
88194e6da7fffff,51.421894079021946,0.081875155730546,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17170.02102101461,0.0,0.0,0.0,0.0,0.0,0,15.690999125796338
88194e6da9fffff,51.43320427796548,0.09773063181960635,8.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,10.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,79121.96940763752,0.0,0.0,6.0,0.0,0.0,0,16.19293319654044
88194e6dabfffff,51.42544445395464,0.10194573746147674,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,57.0,5.0,0.0,15.0,3.0,0.0,1.0,0.0,0.0,104562.70768961895,12660.21875,0.0,18.0,0.0,0.0,0,16.789858757745193
88194e6dadfffff,51.43530947307019,0.08558502998660168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6951.293144977599,386.5,0.0,3.0,0.0,0.0,0,15.320604827941143
88194e6db1fffff,51.40992361426289,0.11037205642439596,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,38299.696508182074,0.0,0.0,7.0,0.0,0.0,0,18.062827712676714
88194e6db3fffff,51.40216259935113,0.11458327085228154,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,39742.44476419269,0.0,0.0,7.0,0.0,0.0,0,18.733503739737557
88194e6db5fffff,51.412029204718216,0.09823319382052997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1066.2371452283764,7341.0,0.0,0.0,0.0,0.0,0,17.206913801500747
