h3_index,bike_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,other_amenities,pet_amenity,social_amenities,water_amenities,parking_area,traffic_count,сharger_number,highway,public_transport,voltage,car_amenities,needs_amenities,shops_amenities,work_amenity,has_charging_station,usage_type,study_amenity,latitude,longitude,distance_to_center
88195da587fffff,0.0,1.0,3.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,172844.5267969608,4559780.737301587,0.0,51.0,12.0,9603.498542274052,0.0,8.0,7.0,0.0,0,nothing,0.0,51.536194560788566,-0.256645047578417,16995.469975916334
88195da589fffff,0.0,0.0,3.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,4498567.971590909,0.0,75.0,17.0,0.0,1.0,27.0,5.0,0.0,0,nothing,1.0,51.54754763566738,-0.2407787338858546,16993.88642562003
88195da58bfffff,1.0,0.0,3.0,2.0,1.0,1.0,0.0,30.0,0.0,1.0,0.0,830508.0593092606,1034645.7969907408,0.0,82.0,10.0,0.0,0.0,113.0,5.0,0.0,0,nothing,0.0,51.53979450942729,-0.2364968086514516,16994.05817123551
88195da58dfffff,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,3060308.7502884436,2516488.7976190476,0.0,52.0,12.0,384.8396501457726,5.0,1.0,4.0,0.0,0,nothing,0.0,51.54962468212329,-0.2529965969283018,16994.506232450574
88195da591fffff,1.0,1.0,3.0,0.0,0.0,0.0,0.0,34.0,1.0,2.0,0.0,74133.04332138597,5289106.6477272725,3.0,36.0,6.0,30862.973760932942,0.0,86.0,1.0,0.0,1,Public use,0.0,51.524287030676376,-0.2279369146369492,16994.400942976572
88195da593fffff,9.0,0.0,10.0,1.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,567697.6617149631,20130683.644274656,0.0,35.0,13.0,25801.749271137025,4.0,7.0,13.0,2.0,0,nothing,1.0,51.51653267893797,-0.2236589447339201,16994.57196895489
88195da595fffff,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,366639.7055827089,3467447.8055555555,0.0,29.0,3.0,19982.50728862974,0.0,36.0,2.0,0.0,0,nothing,0.0,51.52636451429565,-0.2401479958636259,16995.021312406974
88195da597fffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,2324180.152926773,6446627.946338384,0.0,23.0,6.0,0.0,0.0,70.0,1.0,0.0,0,nothing,0.0,51.5186103075991,-0.2358677667085643,16995.19252582772
88195da599fffff,5.0,0.0,16.0,3.0,0.0,0.0,0.0,78.0,0.0,5.0,0.0,1054087.2225441586,3218787.75,0.0,49.0,19.0,10495.626822157434,5.0,34.0,12.0,1.0,0,nothing,0.0,51.5299625466673,-0.2200050246481248,16993.60943020866
88195da59bfffff,8.0,0.0,14.0,1.0,0.0,0.0,0.0,123.0,1.0,0.0,0.0,2369459.7169294115,7455222.935170807,0.0,27.0,19.0,0.0,3.0,0.0,13.0,1.0,0,nothing,2.0,51.522208458111635,-0.2157279964464643,16993.780508749238
88195da59dfffff,0.0,2.0,11.0,1.0,0.0,0.0,0.0,53.0,1.0,1.0,0.0,101022.35525844524,3851685.319444445,0.0,89.0,12.0,0.0,0.0,22.0,7.0,0.0,0,nothing,0.0,51.532040974301545,-0.2322162024223582,16994.229677045583
88195da5a1fffff,0.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,298315.9820975748,13804872.856060604,0.0,35.0,9.0,0.0,0.0,3.0,6.0,0.0,0,nothing,0.0,51.54034378495236,-0.2810825419714019,16996.71001425074
88195da5a3fffff,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,753918.2562426097,2929931.486842105,0.0,24.0,15.0,0.0,0.0,8.0,3.0,0.0,0,nothing,0.0,51.53259042555981,-0.2767942124090089,16996.882030718705
88195da5a5fffff,0.0,0.0,6.0,3.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,55898.82360190181,4163171.416666667,1.0,10.0,8.0,0.0,2.0,3.0,10.0,0.0,1,Public use,0.0,51.542416759682766,-0.2933045312881737,16997.32993541691
88195da5a7fffff,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1521.3847972764263,16677739.597222224,0.0,16.0,12.0,0.0,1.0,2.0,8.0,0.0,0,nothing,0.0,51.53466354747661,-0.2890139404237185,16997.502139763066
88195da5a9fffff,0.0,0.0,3.0,1.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,451279.3300853897,12411512.63690476,0.0,24.0,13.0,0.0,0.0,0.0,2.0,0.0,0,nothing,0.0,51.546022815065726,-0.273150102965279,16995.917959008013
88195da5abfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6258847.992424242,0.0,20.0,2.0,0.0,0.0,3.0,0.0,0.0,0,nothing,0.0,51.53826971845694,-0.2688627138887738,16996.090027710536
88195da5adfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1046.4559429399806,3695167.732323232,0.0,1.0,4.0,0.0,0.0,1.0,4.0,0.0,0,nothing,0.0,51.54809673448618,-0.2853721926838926,16996.53775772235
88195da5b1fffff,0.0,0.0,21.0,1.0,0.0,0.0,1.0,32.0,0.0,1.0,0.0,298393.09244457935,6953056.633595864,0.0,72.0,23.0,0.0,6.0,32.0,2.0,1.0,0,nothing,0.0,51.522762297069576,-0.2602918965944516,16996.43344499627
88195da5b3fffff,0.0,0.0,3.0,1.0,0.0,0.0,1.0,22.0,0.0,3.0,0.0,70651.21437942222,6922526.811733583,0.0,17.0,11.0,0.0,1.0,17.0,8.0,0.0,0,nothing,0.0,51.51500797306392,-0.2560084672529351,16996.6047934318
88195da5b5fffff,0.0,0.0,1.0,1.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,2545270.8111143163,17149093.135563828,0.0,10.0,16.0,64.1399416909621,2.0,9.0,5.0,0.0,0,nothing,0.0,51.524836656695065,-0.2725072034344393,16997.053807052285
88195da5b7fffff,0.0,1.0,6.0,3.0,0.0,0.0,0.0,60.0,1.0,5.0,0.0,47424.817515298535,5681736.967587288,0.0,12.0,17.0,0.0,3.0,37.0,8.0,0.0,0,nothing,0.0,51.51708247874469,-0.2682215144857654,16997.22534317758
88195da5b9fffff,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1095743.5585110774,2761851.844537815,0.0,54.0,9.0,13189.504373177842,0.0,0.0,5.0,0.0,0,nothing,0.0,51.528440908377334,-0.2523612395918242,16995.641616920704
88195da5bbfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,32728.003426049167,2678517.038865546,0.0,10.0,11.0,0.0,0.0,29.0,3.0,0.0,0,nothing,0.0,51.52068684717361,-0.2480787508404668,16995.813017881454
