h3_index,latitude,longitude,bike_amenities,car_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,needs_amenities,other_amenities,pet_amenity,public_transport,shops_amenities,social_amenities,study_amenity,water_amenities,work_amenity,parking_area,traffic_count,highway,voltage,сharger_number,has_charging_station,distance_to_center
8811aa7897fffff,55.75380340937017,37.71678279600419,7.0,6.0,7.0,63.0,24.0,6.0,13.0,29.0,154.0,17.0,2.0,41.0,51.0,45.0,3.0,0.0,32.0,303888.2016910779,23432.645305200276,58.0,0.0,0.0,0,6.355786033314694
8811aa7899fffff,55.76074429384675,37.692139186328156,1.0,0.0,1.0,2.0,0.0,1.0,2.0,6.0,26.0,3.0,0.0,13.0,5.0,5.0,1.0,0.0,0.0,77097.5969548888,23432.645305200276,33.0,110000.0,0.0,0,4.8987325249303995
8811aa789bfffff,55.7655965834476,37.70356286700019,2.0,1.0,6.0,9.0,8.0,1.0,8.0,5.0,33.0,2.0,0.0,24.0,11.0,5.0,0.0,0.0,8.0,69257.39678829115,23432.645305200276,58.0,0.0,0.0,0,5.720245243437143
8811aa789dfffff,55.7524227190778,37.693039839669005,17.0,11.0,2.0,7.0,1.0,1.0,8.0,3.0,2.0,1.0,0.0,7.0,8.0,3.0,1.0,0.0,2.0,223641.87814723092,23432.645305200276,30.0,110000.0,0.0,0,4.8626049857799645
8811aa78a1fffff,55.7191338592676,37.696638883445935,0.0,13.0,1.0,18.0,4.0,0.0,2.0,3.0,8.0,2.0,1.0,19.0,3.0,6.0,2.0,0.0,10.0,87413.44715114869,23432.645305200276,19.0,110000.0,0.0,0,6.282397634396687
8811aa78a3fffff,55.72398440749177,37.70805198486554,1.0,3.0,0.0,4.0,1.0,0.0,1.0,1.0,6.0,1.0,0.0,6.0,5.0,1.0,0.0,0.0,0.0,231955.3509869486,23432.645305200276,6.0,110000.0,0.0,0,6.602514175617037
8811aa78a5fffff,55.71081100585912,37.69753775305219,0.0,22.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,6.0,1823040.9506522405,23432.645305200276,5.0,110000.0,7.0,1,6.908958490861615
8811aa78a7fffff,55.7156612052756,37.70894874094387,0.0,10.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,23432.645305200276,4.0,110000.0,8.0,1,7.137146253509695
8811aa78a9fffff,55.72260489667459,37.68432820467987,2.0,10.0,0.0,9.0,0.0,3.0,1.0,12.0,4.0,1.0,1.0,12.0,5.0,4.0,2.0,0.0,14.0,628102.9323873668,23432.645305200276,4.0,110000.0,0.0,0,5.430949725576788
8811aa78abfffff,55.7274564576393,37.69573965751605,0.0,2.0,0.0,3.0,0.0,2.0,7.0,0.0,3.0,2.0,0.0,4.0,4.0,1.0,0.0,0.0,10.0,52739.355449805924,23432.645305200276,11.0,110000.0,0.0,0,5.738222339813317
8811aa78adfffff,55.71428264729149,37.68522954339761,2.0,13.0,1.0,7.0,0.0,2.0,2.0,6.0,8.0,0.0,0.0,28.0,1.0,1.0,0.0,0.0,2.0,374057.40525597363,23432.645305200276,17.0,110000.0,0.0,0,6.0791485903361
8811aa78b1fffff,55.737157586380825,37.71857385279818,7.0,10.0,0.0,3.0,0.0,1.0,4.0,5.0,2.0,1.0,1.0,12.0,7.0,8.0,0.0,0.0,14.0,43542.11787821782,23432.645305200276,8.0,0.0,0.0,0,6.680454389095969
8811aa78b3fffff,55.74200715244336,37.7299965971532,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,23432.645305200276,2.0,110000.0,0.0,0,7.273139471132964
8811aa78b5fffff,55.72883429110731,37.7194688486106,1.0,4.0,1.0,4.0,3.0,1.0,6.0,3.0,20.0,0.0,0.0,5.0,2.0,9.0,0.0,0.0,6.0,117131.23029848034,23432.645305200276,2.0,110000.0,0.0,0,7.023564921369409
8811aa78b7fffff,55.73368350925717,37.73088947563473,4.0,1.0,0.0,12.0,2.0,0.0,6.0,3.0,10.0,4.0,0.0,20.0,42.0,10.0,0.0,0.0,12.0,19739.20505254963,23432.645305200276,20.0,110000.0,5.0,1,7.528660477656096
8811aa78b9fffff,55.74063004593578,37.706257405847815,1.0,1.0,0.0,5.0,2.0,1.0,4.0,1.0,8.0,2.0,0.0,7.0,10.0,5.0,1.0,0.0,6.0,50463.524811815994,23432.645305200276,16.0,110000.0,0.0,0,5.837257532879382
