h3_index,bicycle_amenities,bike_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,other_amenities,pet_amenity,social_amenities,water_amenities,parking_area,traffic_count,сharger_number,highway,public_transport,railway,subway,voltage,distance_class,car_amenities,needs_amenities,shops_amenities,work_amenity,has_charging_station,usage_type,study_amenity,latitude,longitude,distance_to_center
88194ad28dfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,1.0,0.0,634872.1742887319,7115484.1636883095,0.0,28.0,15.0,0.0,0.0,0.0,324,0.0,6.0,13.0,0.0,0,nothing,0.0,51.45147843119822,0.03275337970648417,16982.647861097237
88194ad291fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,84027.66392034947,577181.3142857143,0.0,14.0,12.0,0.0,0.0,0.0,321,0.0,5.0,3.0,0.0,0,nothing,0.0,51.42609978545717,0.057582211720790755,16982.523163092883
88194ad293fffff,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,657192.7407338172,2544956.236111111,0.0,8.0,6.0,0.0,0.0,0.0,325,0.0,0.0,4.0,0.0,0,nothing,0.0,51.41833969554634,0.06180370771950694,16982.688600365625
88194ad295fffff,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,127409.039954851,1708.5,0.0,0.0,6.0,0.0,0.0,0.0,337,0.0,1.0,5.0,0.0,0,nothing,0.0,51.42820095461818,0.0454324141187827,16983.146165050293
88194ad297fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31992.018716562146,35682.5,0.0,9.0,4.0,0.0,0.0,0.0,342,1.0,0.0,2.0,0.0,0,nothing,0.0,51.420440997944944,0.04965615727940978,16983.311787394607
88194ad299fffff,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,119852.31620461104,4554052.002876984,1.0,16.0,10.0,0.0,0.0,0.0,299,0.0,1.0,6.0,0.0,1,Public use,0.0,51.43175736765674,0.06550928948246698,16981.734607775903
88194ad29bfffff,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,242814.44102927754,336552.5416666667,0.0,0.0,12.0,0.0,0.0,0.0,304,0.0,0.0,1.0,0.0,0,nothing,0.0,51.423997542932575,0.06972983777538537,16981.900099514547
88194ad29dfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,402744.4876478337,1375726.0461309524,0.0,11.0,7.0,0.0,0.0,0.0,316,0.0,23.0,3.0,0.0,0,nothing,0.0,51.43385947705482,0.05335941594623302,16982.35748633298
88194ad2a1fffff,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,260588.35633448194,2857236.683333333,0.0,4.0,13.0,0.0,0.0,0.0,384,1.0,0.0,5.0,0.0,0,nothing,0.0,51.44225717060932,0.004738207880682456,16984.848382199776
88194ad2a3fffff,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,22760.80764029518,1469826.0939393938,0.0,28.0,8.0,0.0,0.0,0.0,388,0.0,0.0,4.0,0.0,0,nothing,2.0,51.434498015997754,0.008969997139438789,16985.01480001803
